Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2020,08,06,5514.73,5331.73,5184.17,5098.98,5049.08,5029.64,4990.6,4985.37,5030.05,5090.98,5189.55,5428.26,5733.27,6186.93,6538.55,6768.76,6518.38,6171.41,5787.03,5474.89,5176.57,4936.45,4812.98,4640,4600.31,4589.89,4588.66,4659.27,4777.23,4924.38,5172.42,5415.83,5730.56,6014.95,6354.23,6675.53,6960.46,7081.82,7111.14,7000.95,6915.59,6800.25,6711.51,6492.72,6272.92,6133.52,5969.98,5765.79
2020,08,07,5518.98,5363.81,5233.57,5088.7,5033.07,4996.61,4927.49,4973.34,4981.86,5044.57,5139.57,5362.6,5540.66,5942.67,6283.42,6581.13,6607.05,6415.07,6174.87,5966.41,5971.07,5958.62,5935.91,5781.79,5694.19,5734.03,6027,6262.3,6320.87,6303,6324.56,6436.95,6580,6714.21,6945.34,7057.55,7183.9,7198.77,7199.1,7039.1,6967.59,6827.58,6619.83,6512.84,6328.64,6232.07,6105.29,5843.84
2020,08,08,5649.84,5480.52,5303.67,5149.92,5053.93,5023.15,4990.64,4977.83,4961.28,4970.83,5012.37,5110.94,5145.02,5347.54,5485.91,5597.67,5629.34,5608.36,5556.61,5459.75,5291.6,5165.53,5141.2,5052.48,4971.32,4888.31,4706.59,4625.24,4637.28,4723.25,4920.09,5158.92,5427.3,5679.97,6001.51,6243.47,6514.02,6642.98,6643.71,6533.35,6466.73,6402.79,6288.04,6168.2,6008.94,5913.28,5824.3,5667.69
2020,08,09,5505.56,5358.76,5218.77,5063.68,4994.4,4923.92,4872.88,4863.61,4879.55,4886.74,4908.91,4982.87,5044.78,5166.84,5318.36,5351.38,5327.28,5201.61,5029.59,4886.83,4730.13,4536.58,4361.88,4266.41,4195.56,4198.88,4181.26,4176.31,4215.98,4349.57,4535.36,4827.9,5188.52,5614.14,6076.27,6518.54,6917.2,7132.17,7197.03,7063.02,6948.23,6886.39,6657.11,6470.12,6286.75,6155.96,6005.4,5767.21
2020,08,10,5526.44,5352.37,5240.41,5122.26,5040.98,5021.73,5007.46,5019.45,5010,5060.04,5220.84,5439.88,5716.5,6188.32,6543.66,6774.36,6658.85,6341.59,5955.32,5901.41,5873.71,5659.56,5400.69,5226.58,5139.53,4977.18,4924.49,4863,4842.9,4963.64,5159.88,5402.69,5724.14,6092.93,6572.73,7069.45,7479.45,7680.55,7796.62,7628.55,7519.95,7346.24,7094.32,6840.21,6582,6399.64,6157.72,5922.42
2020,08,11,5696.77,5531.03,5325.49,5179.22,5144.7,5090.41,5058.13,5055.19,5133.17,5199.64,5341.6,5538.37,5785.11,6236.75,6643.5,6849.62,6621.27,6156.08,5724.55,5357.06,5047.11,4807.15,4584.85,4467.16,4418.25,4444.32,4421.99,4501.1,4683.16,4925.92,5108.61,5314.85,5613.96,5903.75,6246.7,6560.52,6949.79,7157.82,7181.14,7032.33,6936.87,6869.1,6674.07,6502.97,6301.89,6153.4,6012.84,5726.71
2020,08,12,5499.28,5360.92,5204.38,5035.68,4951.07,4903.1,4861.73,4858.43,4867.23,4954.43,5097.4,5337.74,5559.46,5973.67,6325.03,6560.14,6408.33,6012.71,5556.03,5241.27,4941.96,4743.14,4740.12,4728.78,4724.2,4676.53,4656.43,4683.26,4760.42,4862.09,5051.75,5247.58,5547.06,5846.47,6218.06,6566.76,6854.07,6995.18,7037,6906.46,6857.59,6748.08,6547.45,6369.68,6164.62,6015.3,5877.8,5660.01
2020,08,13,5432.12,5255.33,5116.46,5002.05,4955.29,4883.34,4862.2,4850.1,4855.38,4946.37,5078.46,5280.68,5520.71,5913.6,6229.86,6445.13,6276.78,5906.58,5524.46,5182.5,4995.18,4767.92,4649.36,4512.32,4536.63,4519.43,4536.86,4590.73,4699.02,4852.97,5012.52,5272.35,5568.37,5893.46,6216.39,6492.94,6703.81,6799.16,6857.32,6759.81,6646.26,6558.89,6433.05,6270.63,6088.56,5957.97,5841.92,5620.82
2020,08,14,5438.19,5279.44,5143.37,4976.38,4903.05,4901.03,4858.46,4869.75,4874.04,4905.96,4964.36,5098.2,5277.3,5536.99,5689.33,5823.54,5785.91,5693.16,5602.23,5471.19,5235.54,4917.52,4638.62,4474.31,4399.47,4449.74,4426.69,4474.08,4578.15,4768.48,4995.79,5217.81,5551.22,5838.19,6118.84,6293.47,6554.03,6585.83,6567.29,6419.33,6333.46,6249.27,6111.93,5992.89,5942.58,5839.9,5782.36,5587.14
2020,08,15,5390.2,5165.39,5088.52,4962,4884.29,4858.9,4821.71,4807.78,4763.45,4814.06,4843.56,4881.2,4878.71,5043,5144.9,5281.94,5328.8,5429.47,5342.74,5101.8,5054.6,4859.27,4716.8,4515.73,4428.41,4579.52,4698.25,4427.59,4365.63,4823.86,5161.9,5292.44,5471.31,5699.36,5949.06,6105.77,6349.14,6448.68,6411.05,6292.36,6237.85,6180.19,6070.1,5919.8,5844.53,5752.45,5661.73,5516.66
2020,08,16,5335.24,5178.4,5090.86,5015.41,4900.19,4842.71,4854.01,4847.54,4854.31,4841.82,4901.18,4954.63,5038.39,5131.54,5213.38,5237.31,5094.07,4962.24,4801.78,4599.63,4410.19,4221.89,4154.31,4110.03,4070.85,3998.48,4046.13,4097.28,4242.51,4403.74,4612.55,4884.61,5176,5558.98,5981.01,6361.28,6706.8,6870.89,6908.51,6767.47,6682.07,6580.64,6412.86,6253.57,6083.45,5931.17,5817.93,5587
2020,08,17,5406.13,5245.17,5127.02,5020.26,4962.51,4931.36,4886.55,4874.62,4902.86,4986.02,5109.97,5354.32,5658.16,6069.24,6369.67,6518.84,6296.91,5888.94,5550.78,5193.5,4927.67,4681.46,4572.25,4493.07,4431.12,4424.36,4464.19,4501.36,4590.5,4772.22,4977.59,5191.79,5491.94,5875.23,6333.27,6715.25,6991.96,7182.77,7264.85,7126.83,7030.63,6919.46,6753.13,6533.72,6278.88,6174.17,5989.41,5752.83
2020,08,18,5511.41,5377.64,5239.39,5154.15,5067.53,5017.56,4963.61,4980.93,5010.08,5107.48,5229.05,5482.75,5779.83,6205.41,6517.41,6708.65,6493.75,6042.72,5569.12,5251.97,4947.38,4698.39,4521.21,4440.03,4425.49,4438.52,4444.79,4578.29,4927.56,5270.87,5502.77,5551.41,5642.69,5941.97,6333.7,6611.25,6872,7031.57,7118.32,6995.81,6888.89,6778.51,6567.18,6373.95,6164.05,6062.33,5858.6,5639.98
2020,08,19,5458.36,5283.94,5151.87,5055.79,4978.66,4937.15,4932.22,4928.56,4976.52,5034.55,5155.12,5364.91,5629.18,5977.92,6279.04,6415.8,6146.45,5763.53,5403.38,5184.9,4959.8,4694.97,4561.48,4486.64,4458.42,4522.97,4515.56,4545.62,4717.43,4995.79,5162.68,5469.54,5790.22,6114.76,6405.38,6709.24,6886.48,6996.09,7011.25,6917.44,6849.21,6704.41,6496.66,6346.47,6178.95,6038,5914.8,5693.28
2020,08,20,5477.82,5330.5,5207.22,5070.93,4997.32,4943.57,4912.53,4894.84,4912.37,5015.31,5166.84,5400.08,5621.13,5955.31,6248.05,6364.36,6135.41,5744.66,5421.05,5156.04,4920.75,4721.33,4567.45,4459.73,4458.98,4419.75,4411.7,4491.78,4619.58,4818.67,5036.19,5315.57,5608.75,5974.91,6345.07,6631.28,6923.11,7114.37,7164.61,7036.31,6939.87,6859.6,6639.68,6489.66,6251.57,6103.17,5962.93,5776.94
2020,08,21,5550.34,5387.38,5275.89,5165.92,5062.83,5015.23,4994.84,4988.64,5032.58,5131.43,5222.17,5449.46,5686.16,6119.31,6486.7,6640.32,6492.77,6078.98,5651.92,5224.1,4935.17,4711.28,4630.23,4576.12,4528.86,4545.9,4498.54,4488.19,4561.99,4735.22,4985.12,5216.06,5524.34,5856.71,6258.75,6565.46,6747.75,6875.72,6914.87,6779.12,6764.9,6708.8,6530.98,6383.61,6233,6122.69,5979.85,5764.56
2020,08,22,5518.17,5378,5257.93,5145.35,5061.01,5050.9,5010.84,4983.52,4984.38,4999.76,5051.46,5124.44,5255.77,5385.91,5538.87,5626.15,5509.83,5300.62,5195.02,5175.57,4983.08,4848.48,4697.06,4446.4,4282.42,4130.59,4075.09,4170.83,4286.21,4434.65,4630.89,4836.09,5157.86,5531.57,5905.96,6229.24,6516.56,6701.57,6737.99,6627.86,6556.35,6477.15,6376.96,6227.52,6056.03,5965.38,5842.56,5730.92
2020,08,23,5532.66,5361.6,5194.03,5072.07,5018.3,4957.91,4915.78,4902.86,4887.1,4931.4,4978.69,5061.47,5137.29,5247.54,5363.49,5347.5,5219.24,5048.73,4822.8,4644.69,4393.49,4211.44,4063.56,3958.55,3955.64,3922.1,3942.67,3926.8,4028.03,4178.13,4406.98,4703.15,5082.16,5451.7,5980.41,6474.13,6837.84,7045.06,7116.19,6981.92,6927.6,6866.21,6681.96,6494.83,6258.85,6137.19,5970.73,5789.09
2020,08,24,5569.01,5410.82,5265.76,5188.27,5088.95,5060.22,5035.13,5027.97,5048.05,5149.63,5300.44,5554.17,5875.56,6290.44,6614.02,6788.32,6548.34,6140.69,5703.09,5318.94,5021.17,4775.78,4625,4488.28,4421.1,4391.68,4379.23,4447.84,4574.04,4747.88,4936.83,5188.87,5511.62,5864.94,6311.89,6638.05,6931.88,7066.01,7141.93,6990.81,6961.01,6835.38,6751.96,6572.01,6412.34,6411.29,6246.32,6013.12
